accuracy_nat,accuracy_syn,date,dataset
0.2333333333333333,1.0,01M-21D-09h-51m05s,n_ops-10_n_vars-6_len_critical_path-5_batch-1.json
0.4333333333333333,1.0,01M-21D-10h-01m27s,n_ops-10_n_vars-6_len_critical_path-5_batch-2.json
0.3333333333333333,1.0,01M-21D-10h-12m02s,n_ops-10_n_vars-6_len_critical_path-5_batch-3.json
0.3,0.9666666666666668,01M-21D-10h-26m12s,n_ops-20_n_vars-6_len_critical_path-5_batch-1.json
0.3,0.9333333333333332,01M-21D-10h-39m08s,n_ops-20_n_vars-6_len_critical_path-5_batch-2.json
0.3333333333333333,1.0,01M-21D-10h-52m05s,n_ops-20_n_vars-6_len_critical_path-5_batch-3.json
0.4,0.9333333333333332,01M-21D-11h-07m47s,n_ops-30_n_vars-6_len_critical_path-5_batch-1.json
0.1333333333333333,0.9666666666666668,01M-21D-11h-22m55s,n_ops-30_n_vars-6_len_critical_path-5_batch-2.json
0.3,0.9666666666666668,01M-21D-11h-38m19s,n_ops-30_n_vars-6_len_critical_path-5_batch-3.json
0.1333333333333333,0.9666666666666668,01M-21D-11h-55m01s,n_ops-40_n_vars-6_len_critical_path-5_batch-1.json
0.1666666666666666,1.0,01M-21D-12h-11m59s,n_ops-40_n_vars-6_len_critical_path-5_batch-2.json
0.2333333333333333,0.9666666666666668,01M-21D-12h-29m44s,n_ops-40_n_vars-6_len_critical_path-5_batch-3.json
0.1333333333333333,0.9333333333333332,01M-21D-12h-50m04s,n_ops-50_n_vars-6_len_critical_path-5_batch-1.json
0.2333333333333333,0.9333333333333332,01M-21D-13h-10m40s,n_ops-50_n_vars-6_len_critical_path-5_batch-2.json
0.16666666666666666,0.9333333333333333,01M-21D-13h-29m12s,n_ops-50_n_vars-6_len_critical_path-5_batch-3.json
