accuracy_nat,accuracy_syn,date,dataset
0.9666666666666668,0.7333333333333333,01M-22D-17h-47m42s,n_vars-10_ascending-False_batch-1.json
1.0,0.9333333333333332,01M-22D-18h-24m37s,n_vars-10_ascending-False_batch-2.json
0.9,0.7666666666666667,01M-22D-18h-55m37s,n_vars-10_ascending-False_batch-3.json
1.0,0.9666666666666668,01M-22D-19h-22m58s,n_vars-10_ascending-True_batch-1.json
1.0,0.9666666666666668,01M-22D-19h-52m11s,n_vars-10_ascending-True_batch-2.json
0.9666666666666668,0.9666666666666668,01M-22D-20h-19m33s,n_vars-10_ascending-True_batch-3.json
0.8333333333333334,0.8666666666666667,01M-22D-20h-51m04s,n_vars-15_ascending-False_batch-1.json
0.9,0.9333333333333332,01M-22D-21h-26m35s,n_vars-15_ascending-False_batch-2.json
0.9333333333333332,0.8666666666666667,01M-22D-22h-00m45s,n_vars-15_ascending-False_batch-3.json
0.9,0.9333333333333332,01M-22D-22h-35m10s,n_vars-15_ascending-True_batch-1.json
0.9333333333333332,0.7,01M-22D-23h-10m12s,n_vars-15_ascending-True_batch-2.json
1.0,0.8333333333333334,01M-22D-23h-47m50s,n_vars-15_ascending-True_batch-3.json
0.9333333333333332,0.7,01M-23D-00h-22m16s,n_vars-20_ascending-False_batch-1.json
0.8333333333333334,0.9,01M-23D-01h-01m55s,n_vars-20_ascending-False_batch-2.json
0.9666666666666668,0.7,01M-23D-01h-37m10s,n_vars-20_ascending-False_batch-3.json
0.8,0.6666666666666666,01M-23D-02h-15m39s,n_vars-20_ascending-True_batch-1.json
0.8,0.6666666666666666,01M-23D-02h-53m50s,n_vars-20_ascending-True_batch-2.json
0.8333333333333334,0.7666666666666667,01M-23D-03h-31m54s,n_vars-20_ascending-True_batch-3.json
0.8666666666666667,0.7,01M-23D-04h-06m33s,n_vars-25_ascending-False_batch-1.json
0.7,0.4666666666666667,01M-23D-04h-39m55s,n_vars-25_ascending-False_batch-2.json
0.7333333333333333,0.7,01M-23D-05h-17m21s,n_vars-25_ascending-False_batch-3.json
0.7333333333333333,0.6333333333333333,01M-23D-05h-52m54s,n_vars-25_ascending-True_batch-1.json
0.6666666666666666,0.6333333333333333,01M-23D-06h-26m43s,n_vars-25_ascending-True_batch-2.json
0.6,0.6333333333333333,01M-23D-07h-05m50s,n_vars-25_ascending-True_batch-3.json
1.0,0.9,01M-23D-07h-37m07s,n_vars-5_ascending-False_batch-1.json
1.0,0.8666666666666667,01M-23D-08h-06m16s,n_vars-5_ascending-False_batch-2.json
1.0,0.9333333333333332,01M-23D-08h-34m20s,n_vars-5_ascending-False_batch-3.json
1.0,0.9333333333333332,01M-23D-09h-05m15s,n_vars-5_ascending-True_batch-1.json
1.0,0.9333333333333332,01M-23D-09h-36m06s,n_vars-5_ascending-True_batch-2.json
1.0,0.9666666666666667,01M-23D-10h-06m56s,n_vars-5_ascending-True_batch-3.json
