accuracy_nat,accuracy_syn,date,dataset
0.5666666666666667,0.7333333333333333,01M-18D-01h-48m01s,n_loops-10_n_noisy_loops-5_min_loop_length-2_max_loop-10_batch-1.json
0.5666666666666667,0.6333333333333333,01M-21D-00h-32m40s,n_loops-10_n_noisy_loops-5_min_loop_length-2_max_loop-10_batch-2.json
0.6,0.7,01M-21D-00h-36m58s,n_loops-10_n_noisy_loops-5_min_loop_length-2_max_loop-10_batch-3.json
0.9666666666666668,1.0,01M-21D-00h-40m14s,n_loops-3_n_noisy_loops-1_min_loop_length-2_max_loop-10_batch-1.json
0.9666666666666668,1.0,01M-21D-00h-42m57s,n_loops-3_n_noisy_loops-1_min_loop_length-2_max_loop-10_batch-2.json
0.9666666666666668,1.0,01M-21D-00h-45m43s,n_loops-3_n_noisy_loops-1_min_loop_length-2_max_loop-10_batch-3.json
0.5666666666666667,1.0,01M-21D-00h-49m06s,n_loops-4_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-1.json
0.6333333333333333,1.0,01M-21D-00h-52m30s,n_loops-4_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-2.json
0.6333333333333333,1.0,01M-21D-00h-55m49s,n_loops-4_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-3.json
0.7666666666666667,0.9333333333333332,01M-21D-00h-59m36s,n_loops-5_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-1.json
0.7666666666666667,0.9666666666666668,01M-21D-01h-03m05s,n_loops-5_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-2.json
0.7666666666666667,1.0,01M-21D-01h-07m10s,n_loops-5_n_noisy_loops-2_min_loop_length-2_max_loop-10_batch-3.json
0.6666666666666666,0.8666666666666667,01M-21D-01h-10m45s,n_loops-6_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-1.json
0.5333333333333333,0.8333333333333334,01M-21D-01h-14m26s,n_loops-6_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-2.json
0.6666666666666666,0.9333333333333332,01M-21D-01h-17m59s,n_loops-6_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-3.json
0.6,0.8333333333333334,01M-21D-01h-22m16s,n_loops-7_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-1.json
0.6666666666666666,0.8333333333333334,01M-21D-01h-26m16s,n_loops-7_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-2.json
0.7333333333333333,0.9333333333333332,01M-21D-01h-30m36s,n_loops-7_n_noisy_loops-3_min_loop_length-2_max_loop-10_batch-3.json
0.5666666666666667,0.8333333333333334,01M-21D-01h-35m01s,n_loops-8_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-1.json
0.6,0.7333333333333333,01M-21D-01h-39m41s,n_loops-8_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-2.json
0.5333333333333333,0.8666666666666667,01M-21D-01h-44m10s,n_loops-8_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-3.json
0.7,0.7333333333333333,01M-21D-01h-49m12s,n_loops-9_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-1.json
0.7333333333333333,0.6666666666666666,01M-21D-01h-54m15s,n_loops-9_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-2.json
0.7,0.7666666666666667,01M-21D-01h-58m37s,n_loops-9_n_noisy_loops-4_min_loop_length-2_max_loop-10_batch-3.json
