accuracy_nat,accuracy_syn,date,dataset
1.0,1.0,01M-18D-01h-19m15s,n_ops-10_n_vars-3_n_instances-2_batch-1.json
1.0,1.0,01M-18D-01h-23m54s,n_ops-10_n_vars-3_n_instances-2_batch-2.json
1.0,1.0,01M-18D-01h-28m37s,n_ops-10_n_vars-3_n_instances-2_batch-3.json
0.9333333333333332,1.0,01M-20D-22h-32m31s,n_ops-20_n_vars-3_n_instances-2_batch-1.json
0.9,1.0,01M-20D-22h-40m37s,n_ops-20_n_vars-3_n_instances-2_batch-2.json
0.8333333333333334,1.0,01M-20D-22h-49m17s,n_ops-20_n_vars-3_n_instances-2_batch-3.json
0.9,1.0,01M-20D-22h-58m47s,n_ops-30_n_vars-3_n_instances-2_batch-1.json
0.9666666666666668,0.9333333333333332,01M-20D-23h-08m18s,n_ops-30_n_vars-3_n_instances-2_batch-2.json
0.9333333333333332,0.9666666666666668,01M-20D-23h-18m17s,n_ops-30_n_vars-3_n_instances-2_batch-3.json
0.0666666666666666,0.8,01M-20D-23h-29m05s,n_ops-40_n_vars-3_n_instances-2_batch-1.json
0.1666666666666666,0.7666666666666667,01M-20D-23h-41m29s,n_ops-40_n_vars-3_n_instances-2_batch-2.json
0.2,0.7666666666666667,01M-20D-23h-52m35s,n_ops-40_n_vars-3_n_instances-2_batch-3.json
0.0,0.1,01M-21D-00h-05m15s,n_ops-50_n_vars-3_n_instances-2_batch-1.json
0.0,0.0333333333333333,01M-21D-00h-16m43s,n_ops-50_n_vars-3_n_instances-2_batch-2.json
0.0,0.06666666666666667,01M-21D-00h-28m09s,n_ops-50_n_vars-3_n_instances-2_batch-3.json
