accuracy_nat,accuracy_syn,date,dataset
1.0,1.0,01M-24D-13h-08m15s,n_ops-10_n_vars-3_n_instances-2_batch-1.json
1.0,1.0,01M-24D-13h-14m18s,n_ops-10_n_vars-3_n_instances-2_batch-2.json
1.0,1.0,01M-24D-13h-20m43s,n_ops-10_n_vars-3_n_instances-2_batch-3.json
0.9666666666666668,1.0,01M-24D-13h-30m06s,n_ops-20_n_vars-3_n_instances-2_batch-1.json
0.8666666666666667,1.0,01M-24D-13h-40m03s,n_ops-20_n_vars-3_n_instances-2_batch-2.json
0.8,1.0,01M-24D-13h-50m28s,n_ops-20_n_vars-3_n_instances-2_batch-3.json
1.0,1.0,01M-24D-14h-04m21s,n_ops-30_n_vars-3_n_instances-2_batch-1.json
0.8666666666666667,1.0,01M-24D-14h-20m03s,n_ops-30_n_vars-3_n_instances-2_batch-2.json
0.9333333333333332,0.9333333333333332,01M-24D-14h-35m49s,n_ops-30_n_vars-3_n_instances-2_batch-3.json
0.1666666666666666,0.6666666666666666,01M-24D-14h-58m14s,n_ops-40_n_vars-3_n_instances-2_batch-1.json
0.0,0.7333333333333333,01M-24D-15h-21m19s,n_ops-40_n_vars-3_n_instances-2_batch-2.json
0.1666666666666666,0.9333333333333332,01M-24D-15h-39m15s,n_ops-40_n_vars-3_n_instances-2_batch-3.json
0.0,0.2,01M-24D-15h-57m31s,n_ops-50_n_vars-3_n_instances-2_batch-1.json
0.0,0.1,01M-24D-16h-18m18s,n_ops-50_n_vars-3_n_instances-2_batch-2.json
0.0,0.13333333333333333,01M-24D-16h-40m22s,n_ops-50_n_vars-3_n_instances-2_batch-3.json
