accuracy_nat,accuracy_syn,date,dataset
1.0,1.0,01M-24D-10h-46m20s,n_ops-10_n_vars-3_n_instances-2_batch-1.json
1.0,1.0,01M-24D-10h-54m59s,n_ops-10_n_vars-3_n_instances-2_batch-2.json
1.0,1.0,01M-24D-11h-05m28s,n_ops-10_n_vars-3_n_instances-2_batch-3.json
0.9666666666666668,1.0,01M-24D-11h-18m15s,n_ops-20_n_vars-3_n_instances-2_batch-1.json
0.8333333333333334,1.0,01M-24D-11h-27m20s,n_ops-20_n_vars-3_n_instances-2_batch-2.json
0.9333333333333332,0.9666666666666668,01M-24D-11h-34m33s,n_ops-20_n_vars-3_n_instances-2_batch-3.json
0.9333333333333332,0.9666666666666668,01M-24D-11h-44m39s,n_ops-30_n_vars-3_n_instances-2_batch-1.json
0.7666666666666667,0.8333333333333334,01M-24D-11h-53m40s,n_ops-30_n_vars-3_n_instances-2_batch-2.json
0.9333333333333332,0.9666666666666668,01M-24D-12h-02m50s,n_ops-30_n_vars-3_n_instances-2_batch-3.json
0.4,0.8,01M-24D-12h-10m53s,n_ops-40_n_vars-3_n_instances-2_batch-1.json
0.3,0.7333333333333333,01M-24D-12h-23m26s,n_ops-40_n_vars-3_n_instances-2_batch-2.json
0.4,0.8333333333333334,01M-24D-12h-34m09s,n_ops-40_n_vars-3_n_instances-2_batch-3.json
0.3333333333333333,0.6,01M-24D-12h-43m47s,n_ops-50_n_vars-3_n_instances-2_batch-1.json
0.3666666666666666,0.5333333333333333,01M-24D-12h-52m50s,n_ops-50_n_vars-3_n_instances-2_batch-2.json
0.16666666666666666,0.5333333333333333,01M-24D-13h-01m33s,n_ops-50_n_vars-3_n_instances-2_batch-3.json
